%% starting
% Lead: tauZ 1 sec, tauP = 0.15 sec, T = 0.002 sec
%       tauZ2pT = 2.002, tauZ2mT = 1.998, tauP2pT = 0.302, tauP2mT = 0.298
% Demo behave:: state changed from 0 to 10 at 24.2410 sec
% Demo behave:: state changed from 10 to 13 at 24.3430 sec
%% following line
% Demo behave:: state changed from 13 to 14 at 24.3450 sec
% followed line in 4.377027 sec
% Demo behave:: state changed from 14 to 90 at 28.7230 sec
% Demo behave:: state changed from 90 to 99 at 29.4690 sec
% Demo behave:: state changed from 99 to 0 at 29.4710 sec
%% finished demo 1
%  1    time 0.0000 sec, from Bode (122)
%  2  3 Motor voltage (V) left, right: 0.00 0.00
%  4  5 Wheel velocity (m/s) left, right: -0.0000 0.0000
%  6    Turnrate (rad/s): 0.0000
%  7  8  9 10 Pose x,y,h,tilt (m,m,rad,rad): 0.0000 0.0000 0.0000 3.1371
% 11 .. 29 Edge sensor: left pos, right pos, line valid, crossing, values d d d d d d d d,  white, used, LED high, average white, line detect count, crossing detect count
% 30    Battery voltage (12.10 V)
0.1600 4.40 -0.40 0.7738 -0.2206 -4.2315 0.0136 -0.0012 -0.18325 -3.13119 0.67 0.67 1 0 588 568 669 865 923 735 567 576  1 1 1 0.69 0 20 12.01 
0.1620 4.45 -0.45 0.7779 -0.2170 -4.2335 0.0141 -0.0013 -0.19121 -3.13072 0.68 0.68 1 0 589 584 679 861 921 738 565 595  1 1 1 0.69 0 20 12.01 
0.1640 4.04 -0.04 0.7561 -0.2081 -4.1029 0.0147 -0.0014 -0.19918 -3.13025 0.61 0.61 1 0 583 576 666 868 909 724 565 583  1 1 1 0.68 0 20 12.02 
0.1660 3.86 0.14 0.7508 -0.1942 -4.0213 0.0152 -0.0015 -0.20715 -3.12957 0.58 0.58 1 0 591 568 669 876 910 718 568 572  1 1 1 0.68 0 20 12.04 
0.1680 4.05 -0.05 0.7278 -0.1843 -3.8813 0.0158 -0.0016 -0.21512 -3.12880 0.62 0.62 1 0 582 568 671 866 897 729 571 566  1 1 1 0.68 0 20 12.03 
0.1700 3.78 0.22 0.7085 -0.1906 -3.8261 0.0163 -0.0018 -0.21990 -3.12806 0.57 0.57 1 0 582 576 684 872 898 718 574 572  1 1 1 0.68 0 20 12.04 
0.1720 3.58 0.42 0.6880 -0.1698 -3.6502 0.0169 -0.0019 -0.22786 -3.12750 0.54 0.54 1 0 580 575 687 884 898 715 569 566  1 1 1 0.68 0 20 12.04 
0.1740 3.47 0.53 0.6794 -0.1565 -3.5569 0.0174 -0.0020 -0.23583 -3.12695 0.52 0.52 1 0 583 579 693 894 896 715 572 555  1 1 1 0.69 0 20 12.06 
0.1760 3.58 0.42 0.6540 -0.1634 -3.4783 0.0180 -0.0022 -0.24061 -3.12625 0.54 0.54 1 0 599 586 692 880 889 717 587 572  1 1 1 0.69 0 20 12.05 
0.1780 3.33 0.67 0.6404 -0.1473 -3.3520 0.0185 -0.0023 -0.24539 -3.12556 0.50 0.50 1 0 600 575 700 894 894 706 589 581  1 1 1 0.69 0 20 12.05 
0.1800 3.39 0.61 0.6202 -0.1374 -3.2239 0.0193 -0.0025 -0.25177 -3.12490 0.51 0.51 1 0 597 580 695 897 897 713 581 546  1 1 1 0.69 0 20 12.06 
0.1820 3.34 0.66 0.5939 -0.1197 -3.0365 0.0198 -0.0026 -0.25655 -3.12414 0.51 0.51 1 0 604 584 705 894 893 712 575 557  1 1 1 0.69 0 20 12.06 
0.1840 3.25 0.75 0.5755 -0.1094 -2.9146 0.0203 -0.0028 -0.26133 -3.12342 0.49 0.49 1 0 605 591 700 900 894 707 564 564  1 1 1 0.69 0 20 12.05 
0.1860 3.17 0.83 0.5687 -0.1015 -2.8522 0.0209 -0.0029 -0.26611 -3.12271 0.48 0.48 1 0 626 589 708 905 890 695 564 574  1 1 1 0.69 0 20 12.05 
0.1880 3.14 0.86 0.5479 -0.0806 -2.6747 0.0214 -0.0031 -0.27089 -3.12200 0.48 0.48 1 0 624 585 706 914 896 685 565 564  1 1 1 0.69 0 20 12.06 
0.1900 3.01 0.99 0.5348 0.0956 -1.8688 0.0220 -0.0032 -0.27248 -3.12132 0.45 0.45 1 0 616 576 712 909 881 695 565 570  1 1 1 0.69 0 20 12.06 
0.1920 3.40 0.60 0.5162 -0.0228 -2.2935 0.0225 -0.0034 -0.27726 -3.12066 0.53 0.53 1 0 618 569 706 904 892 721 564 557  1 1 1 0.69 0 20 12.06 
