%% starting
% Lead: tauZ 0.8 sec, tauP = 0.15 sec, T = 0.002 sec
%       tauZ2pT = 1.602, tauZ2mT = 1.598, tauP2pT = 0.302, tauP2mT = 0.298
% Demo behave:: state changed from 0 to 10 at 11.3930 sec
% Demo behave:: state changed from 10 to 13 at 11.4950 sec
%% following line
% Demo behave:: state changed from 13 to 14 at 11.4970 sec
% followed line in 4.301055 sec
% Demo behave:: state changed from 14 to 90 at 15.7990 sec
% Demo behave:: state changed from 90 to 99 at 16.5270 sec
% Demo behave:: state changed from 99 to 0 at 16.5290 sec
%% finished demo 1
%  1    time 0.0000 sec, from Bode (122)
%  2  3 Motor voltage (V) left, right: 0.00 0.00
%  4  5 Wheel velocity (m/s) left, right: -0.0000 0.0000
%  6    Turnrate (rad/s): 0.0000
%  7  8  9 10 Pose x,y,h,tilt (m,m,rad,rad): 0.0000 0.0000 0.0000 3.1404
% 11 .. 29 Edge sensor: left pos, right pos, line valid, crossing, values d d d d d d d d,  white, used, LED high, average white, line detect count, crossing detect count
% 30    Battery voltage (12.02 V)
0.1320 7.59 -3.59 0.9810 -0.4428 -6.0587 0.0041 -0.0002 -0.10836 -3.13740 1.53 1.53 1 0 582 585 576 705 907 915 715 564  1 1 1 0.69 0 20 11.67 
0.1340 7.77 -3.77 1.0331 -0.4500 -6.3112 0.0049 -0.0003 -0.12110 -3.13641 1.58 1.58 1 0 594 591 585 695 907 931 726 581  1 1 1 0.70 0 20 11.70 
0.1360 7.93 -3.93 1.0406 -0.4600 -6.3856 0.0052 -0.0004 -0.13385 -3.13592 1.64 1.64 1 0 585 596 603 697 902 933 740 572  1 1 1 0.70 0 20 11.71 
0.1380 7.36 -3.36 1.0562 -0.4633 -6.4659 0.0060 -0.0005 -0.14660 -3.13543 1.52 1.52 1 0 602 594 607 716 905 913 717 563  1 1 1 0.70 0 20 11.71 
0.1400 7.28 -3.28 1.0773 -0.4537 -6.5150 0.0067 -0.0006 -0.15935 -3.13451 1.51 1.51 1 0 613 586 595 723 928 912 731 553  1 1 1 0.71 0 20 11.76 
0.1420 7.24 -3.24 1.1082 -0.4292 -6.5418 0.0073 -0.0007 -0.17369 -3.13339 1.51 1.51 1 0 629 588 596 712 927 913 720 585  1 1 1 0.71 0 20 11.77 
0.1440 7.12 -3.12 1.1168 -0.4039 -6.4710 0.0080 -0.0008 -0.18643 -3.13201 1.50 1.50 1 0 621 580 604 713 927 901 722 572  1 1 1 0.71 0 20 11.80 
0.1460 6.77 -2.77 1.1345 -0.3855 -6.4683 0.0087 -0.0009 -0.19918 -3.12986 1.43 1.43 1 0 593 571 603 728 931 899 717 595  1 1 1 0.71 0 20 11.80 
0.1480 6.71 -2.71 1.1406 -0.3651 -6.4070 0.0095 -0.0011 -0.21193 -3.12826 1.43 1.43 1 0 600 585 608 724 923 893 713 589  1 1 1 0.70 0 20 11.84 
0.1500 6.55 -2.55 1.1440 -0.3524 -6.3679 0.0104 -0.0013 -0.22308 -3.12786 1.40 1.40 1 0 607 591 595 731 927 902 701 576  1 1 1 0.70 0 20 11.87 
0.1520 6.53 -2.53 1.1529 -0.3332 -6.3238 0.0111 -0.0015 -0.23583 -3.12731 1.40 1.40 1 0 608 589 596 732 928 911 703 600  1 1 1 0.71 0 20 11.87 
0.1540 6.36 -2.36 1.1377 -0.3160 -6.1858 0.0118 -0.0016 -0.24858 -3.12641 1.38 1.38 1 0 602 595 607 733 926 892 675 580  1 1 1 0.70 0 20 11.88 
0.1560 6.09 -2.09 1.1255 -0.3138 -6.1248 0.0127 -0.0019 -0.25973 -3.12568 1.32 1.32 1 0 600 600 603 743 936 881 671 587  1 1 1 0.70 0 20 11.88 
0.1580 6.15 -2.15 1.1289 -0.3159 -6.1483 0.0135 -0.0021 -0.27248 -3.12503 1.34 1.34 1 0 599 590 595 735 934 879 668 589  1 1 1 0.70 0 20 11.91 
0.1600 5.98 -1.98 1.1196 -0.3214 -6.1320 0.0142 -0.0023 -0.28523 -3.12440 1.31 1.31 1 0 602 585 603 741 939 875 662 596  1 1 1 0.70 0 20 11.91 
0.1620 5.88 -1.88 1.1110 -0.3273 -6.1203 0.0149 -0.0025 -0.29798 -3.12387 1.30 1.30 1 0 607 594 598 743 951 874 659 574  1 1 1 0.70 0 20 11.92 
0.1640 5.86 -1.86 1.1056 -0.3374 -6.1406 0.0158 -0.0028 -0.30913 -3.12349 1.31 1.31 1 0 594 581 601 740 942 869 664 583  1 1 1 0.70 0 20 11.92 
0.1660 5.61 -1.61 1.0857 -0.3436 -6.0820 0.0165 -0.0030 -0.32188 -3.12333 1.25 1.25 1 0 588 574 607 752 940 860 662 598  1 1 1 0.70 0 20 11.92 
0.1680 5.29 -1.29 1.0695 -0.3523 -6.0501 0.0170 -0.0032 -0.33303 -3.12308 1.19 1.19 1 0 591 564 609 773 943 856 668 581  1 1 1 0.70 0 20 11.93 
0.1700 5.23 -1.23 1.0539 -0.3534 -5.9886 0.0177 -0.0034 -0.34578 -3.12248 1.18 1.18 1 0 589 565 604 778 947 861 667 576  1 1 1 0.70 0 20 11.93 
0.1720 5.26 -1.26 1.0434 -0.3535 -5.9441 0.0184 -0.0037 -0.35853 -3.12197 1.19 1.19 1 0 604 576 613 772 951 860 664 578  1 1 1 0.70 0 20 11.96 
0.1740 5.16 -1.16 1.0360 -0.3581 -5.9324 0.0190 -0.0039 -0.36968 -3.12171 1.18 1.18 1 0 599 569 604 772 951 851 660 578  1 1 1 0.70 0 20 11.96 
0.1760 5.11 -1.11 1.0090 -0.3501 -5.7834 0.0195 -0.0041 -0.38084 -3.12144 1.17 1.17 1 0 570 581 605 769 935 842 656 587  1 1 1 0.69 0 20 11.97 
0.1780 4.87 -0.87 1.0094 -0.3434 -5.7566 0.0204 -0.0045 -0.39199 -3.12110 1.12 1.12 1 0 547 583 609 774 942 825 659 572  1 1 1 0.69 0 20 11.96 
0.1800 4.78 -0.78 0.9995 -0.3404 -5.7018 0.0209 -0.0047 -0.40314 -3.12078 1.11 1.11 1 0 570 584 621 788 957 836 646 593  1 1 1 0.70 0 20 11.97 
0.1820 4.91 -0.91 0.9886 -0.3342 -5.6290 0.0214 -0.0049 -0.41430 -3.12028 1.15 1.15 1 0 588 591 624 780 948 844 650 583  1 1 1 0.70 0 20 11.98 
0.1840 4.48 -0.48 0.9858 -0.3216 -5.5631 0.0221 -0.0052 -0.42705 -3.11946 1.05 1.05 1 0 589 583 633 797 950 818 632 574  1 1 1 0.70 0 20 11.99 
0.1860 4.41 -0.41 0.9702 -0.3127 -5.4593 0.0228 -0.0055 -0.43661 -3.11858 1.04 1.04 1 0 618 589 621 802 957 820 624 570  1 1 1 0.70 0 20 11.99 
0.1880 4.28 -0.28 0.9469 -0.3047 -5.3258 0.0233 -0.0058 -0.44776 -3.11781 1.01 1.01 1 0 610 594 630 802 964 808 627 563  1 1 1 0.70 0 20 11.98 
0.1900 4.46 -0.46 0.9283 -0.3019 -5.2347 0.0239 -0.0061 -0.45732 -3.11693 1.06 1.06 1 0 602 591 635 802 957 830 627 566  1 1 1 0.70 0 20 11.98 
0.1920 4.28 -0.28 0.9202 -0.2926 -5.1609 0.0244 -0.0063 -0.46848 -3.11600 1.02 1.02 1 0 596 586 637 816 952 826 624 576  1 1 1 0.70 0 20 11.99 
0.1940 4.09 -0.09 0.8841 -0.2810 -4.9578 0.0249 -0.0066 -0.47644 -3.11516 0.98 0.98 1 0 586 588 653 844 976 834 631 591  1 1 1 0.71 0 20 11.98 
0.1960 4.15 -0.15 0.8714 -0.2717 -4.8643 0.0254 -0.0069 -0.48760 -3.11435 1.00 1.00 1 0 610 601 654 830 959 830 622 580  1 1 1 0.71 0 20 11.99 
0.1980 4.14 -0.14 0.8391 -0.2641 -4.6945 0.0259 -0.0071 -0.49556 -3.11347 1.00 1.00 1 0 616 594 665 836 953 836 628 596  1 1 1 0.72 0 20 11.99 
0.2000 3.93 0.07 0.8075 -0.2563 -4.5266 0.0266 -0.0075 -0.50513 -3.11245 0.96 0.96 1 0 623 588 659 840 969 818 628 580  1 1 1 0.71 0 20 11.98 
0.2020 4.00 -0.00 0.7751 -0.2520 -4.3708 0.0271 -0.0078 -0.51309 -3.11141 0.98 0.98 1 0 610 593 634 826 961 816 634 580  1 1 1 0.71 0 20 11.97 
0.2040 3.88 0.12 0.7428 -0.2318 -4.1472 0.0274 -0.0079 -0.52265 -3.11040 0.95 0.95 1 0 607 590 655 840 967 816 625 591  1 1 1 0.71 0 20 11.97 
0.2060 3.72 0.28 0.6992 -0.2170 -3.8988 0.0277 -0.0081 -0.52903 -3.10953 0.92 0.92 1 0 600 590 653 846 971 806 634 587  1 1 1 0.71 0 20 11.97 
0.2080 3.64 0.36 0.6749 -0.2129 -3.7780 0.0282 -0.0084 -0.53699 -3.10880 0.90 0.90 1 0 604 593 662 852 971 803 627 581  1 1 1 0.71 0 20 11.97 
0.2100 3.32 0.68 0.6454 -0.2073 -3.6286 0.0285 -0.0086 -0.54337 -3.10814 0.83 0.83 1 0 608 590 675 870 959 788 622 572  1 1 1 0.71 0 20 11.97 
0.2120 3.45 0.55 0.6234 -0.1983 -3.4964 0.0289 -0.0088 -0.54974 -3.10745 0.86 0.86 1 0 607 588 676 864 944 798 629 563  1 1 1 0.71 0 20 11.97 
0.2140 3.38 0.62 0.6084 -0.1996 -3.4385 0.0293 -0.0091 -0.55452 -3.10676 0.85 0.85 1 0 623 599 685 861 946 790 620 591  1 1 1 0.71 0 20 11.97 
0.2160 3.46 0.54 0.5958 -0.1796 -3.2997 0.0298 -0.0094 -0.56249 -3.10608 0.87 0.87 1 0 615 599 686 876 960 808 618 576  1 1 1 0.72 0 20 11.98 
0.2180 3.31 0.69 0.5830 -0.1620 -3.1702 0.0301 -0.0096 -0.56886 -3.10544 0.84 0.84 1 0 627 604 693 877 955 795 606 600  1 1 1 0.72 0 20 11.98 
0.2200 3.19 0.81 0.5903 -0.1698 -3.2342 0.0306 -0.0099 -0.57364 -3.10500 0.81 0.81 1 0 600 593 684 866 951 777 604 595  1 1 1 0.71 0 20 11.97 
0.2220 3.02 0.98 0.5871 -0.1376 -3.0840 0.0309 -0.0101 -0.58002 -3.10450 0.77 0.77 1 0 600 601 691 878 950 771 589 613  1 1 1 0.71 0 20 11.97 
0.2240 3.14 0.86 0.5883 -0.1240 -3.0307 0.0312 -0.0103 -0.58639 -3.10376 0.80 0.80 1 0 600 600 695 873 960 777 607 619  1 1 1 0.72 0 20 11.98 
0.2260 2.64 1.36 0.5851 -0.1508 -3.1314 0.0317 -0.0106 -0.59117 -3.10287 0.68 0.68 1 0 621 615 725 900 948 771 620 596  1 1 1 0.72 0 20 11.98 
0.2280 2.77 1.23 0.5861 -0.1087 -2.9566 0.0320 -0.0108 -0.59755 -3.10196 0.72 0.72 1 0 608 607 721 906 964 779 617 595  1 1 1 0.73 0 20 11.97 
0.2300 2.86 1.14 0.5894 -0.1247 -3.0389 0.0326 -0.0113 -0.60392 -3.10120 0.74 0.74 1 0 608 599 720 898 948 785 615 591  1 1 1 0.72 0 20 11.97 
0.2320 2.65 1.35 0.5727 -0.1165 -2.9330 0.0331 -0.0116 -0.60870 -3.10050 0.69 0.69 1 0 608 609 725 905 940 777 622 608  1 1 1 0.72 0 20 11.96 
0.2340 2.43 1.57 0.5776 -0.1064 -2.9107 0.0335 -0.0119 -0.61348 -3.10000 0.64 0.64 1 0 611 598 736 920 936 779 607 581  1 1 1 0.72 0 20 11.97 
0.2360 2.31 1.69 0.5769 -0.1008 -2.8837 0.0340 -0.0122 -0.61826 -3.09978 0.61 0.61 1 0 640 610 743 933 950 779 603 595  1 1 1 0.73 0 20 11.97 
0.2380 2.23 1.77 0.5819 -0.0964 -2.8863 0.0345 -0.0125 -0.62304 -3.09974 0.59 0.59 1 0 619 600 745 925 946 771 624 596  1 1 1 0.73 0 20 11.97 
0.2400 2.17 1.83 0.5688 -0.0843 -2.7791 0.0349 -0.0129 -0.62782 -3.09980 0.57 0.57 1 0 624 602 749 918 952 765 617 610  1 1 1 0.73 0 20 11.96 
0.2420 1.91 2.09 0.5715 -0.0789 -2.7677 0.0354 -0.0132 -0.63260 -3.09977 0.51 0.51 1 0 627 609 759 925 955 754 608 589  1 1 1 0.73 0 20 11.97 
0.2440 1.93 2.07 0.5551 0.0632 -2.0930 0.0360 -0.0136 -0.63579 -3.09965 0.51 0.51 1 0 638 626 757 913 936 754 594 606  1 1 1 0.73 0 20 11.97 
